application_id,user_id,application_start_date,user_type,employment_status,credit_score_band,device_type,loan_amount_requested,step_reached,application_completed,loan_approved,time_on_application_mins
APP-00001,USR-00999,2023-06-14,new_user,employed,excellent,desktop,47000,5,no,,10
APP-00002,USR-01096,2023-11-10,rejected_reapply,employed,good,mobile,8000,7,yes,yes,32
APP-00003,USR-00048,2023-01-21,new_user,self-employed,fair,mobile,26000,2,no,,14
APP-00004,USR-00942,2023-03-23,new_user,self-employed,fair,mobile,15000,0,no,,6
APP-00005,USR-00074,2023-05-11,new_user,employed,fair,mobile,1000,0,no,,6
APP-00006,USR-00403,2023-11-01,rejected_reapply,unemployed,good,desktop,28000,5,no,,20
APP-00007,USR-00240,2024-01-06,new_user,employed,fair,mobile,49000,1,no,,1
APP-00008,USR-00326,2024-01-19,new_user,employed,good,tablet,47000,5,no,,8
APP-00009,USR-00190,2024-03-20,new_user,unemployed,fair,tablet,46000,5,no,,36
APP-00010,USR-01602,2024-02-29,new_user,unemployed,excellent,mobile,14000,5,no,,6
APP-00011,USR-00568,2023-06-10,new_user,self-employed,poor,mobile,42000,7,yes,no,26
APP-00012,USR-01926,2023-06-27,new_user,unemployed,excellent,desktop,34000,5,no,,51
APP-00013,USR-00803,2024-05-04,new_user,employed,excellent,mobile,31000,4,no,,22
APP-00014,USR-00647,2023-11-23,rejected_reapply,unemployed,good,mobile,6000,5,no,,3
APP-00015,USR-01226,2023-10-16,abandoned_restart,employed,good,mobile,49000,7,yes,yes,26
APP-00016,USR-01779,2023-12-20,new_user,employed,good,mobile,5000,5,no,,39
APP-00017,USR-01015,2023-01-28,rejected_reapply,employed,good,desktop,31000,5,no,,33
APP-00018,USR-00912,2023-02-12,new_user,employed,fair,mobile,37000,5,no,,51
APP-00019,USR-00176,2024-02-27,new_user,employed,fair,mobile,15000,5,no,,48
APP-00020,USR-00486,2023-06-26,abandoned_restart,employed,good,tablet,15000,7,yes,yes,25
APP-00021,USR-00346,2024-06-12,rejected_reapply,employed,good,desktop,43000,7,yes,yes,20
APP-00022,USR-00587,2024-05-08,abandoned_restart,employed,good,mobile,5000,7,yes,no,20
APP-00023,USR-00271,2023-07-17,new_user,employed,fair,desktop,28000,5,no,,7
APP-00024,USR-00464,2024-05-31,rejected_reapply,employed,fair,mobile,33000,5,no,,3
APP-00025,USR-00394,2024-05-28,new_user,employed,poor,desktop,11000,0,no,,3
APP-00026,USR-01622,2023-01-22,rejected_reapply,self-employed,poor,mobile,43000,5,no,,31
APP-00027,USR-00379,2023-04-22,second_loan,unemployed,fair,mobile,6000,2,no,,18
APP-00028,USR-01450,2023-02-26,new_user,self-employed,poor,desktop,23000,2,no,,21
APP-00029,USR-00963,2023-03-07,abandoned_restart,employed,poor,mobile,40000,5,no,,37
APP-00030,USR-00423,2023-04-08,new_user,self-employed,excellent,tablet,2000,1,no,,6
APP-00031,USR-01457,2023-05-24,new_user,employed,poor,mobile,15000,4,no,,6
APP-00032,USR-00412,2024-03-10,new_user,employed,good,tablet,23000,3,no,,13
APP-00033,USR-00768,2023-03-27,new_user,employed,fair,tablet,22000,4,no,,6
APP-00034,USR-01897,2023-12-10,rejected_reapply,self-employed,excellent,mobile,9000,1,no,,4
APP-00035,USR-01052,2023-10-21,abandoned_restart,employed,good,desktop,47000,5,no,,33
APP-00036,USR-00610,2023-08-31,new_user,employed,fair,mobile,40000,7,yes,no,25
APP-00037,USR-01747,2023-02-01,rejected_reapply,employed,good,tablet,30000,7,yes,yes,25
APP-00038,USR-01421,2024-01-26,second_loan,unemployed,fair,mobile,16000,5,no,,8
APP-00039,USR-00813,2023-10-04,new_user,self-employed,good,desktop,46000,7,yes,yes,15
APP-00040,USR-00388,2024-06-15,second_loan,employed,poor,mobile,47000,1,no,,8
APP-00041,USR-00762,2023-06-03,new_user,employed,excellent,mobile,30000,5,no,,3
APP-00042,USR-00545,2024-01-18,rejected_reapply,employed,good,mobile,45000,5,no,,7
APP-00043,USR-01190,2023-03-09,new_user,self-employed,fair,mobile,9000,5,no,,46
APP-00044,USR-00081,2023-08-02,new_user,employed,good,desktop,1000,5,no,,46
APP-00045,USR-00660,2024-01-11,new_user,unemployed,fair,desktop,38000,1,no,,3
